Código CIUO-08;Título SP;Descripción;Tareas;Observaciones;Ocupaciones
2422;Especialistas en políticas de administración;"Este grupo primario abarca a los especialistas en organización y administración de empresas y afines no clasificados separadamente en el subgrupo 241 : Especialistas en organización y administración de empresas y afines.

Por ejemplo, habrá que clasificar en este grupo primario a los especialistas que estudian, aplican o brindan asesoramiento respecto de diversos métodos y técnicas de gestión de empresas en esferas relativas a la comercialización, publicidad, relaciones públicas, aplicación de normas sobre patentes y marcas, consultoría sobre el establecimiento y funcionamiento de un negocio, y formas de aplicar los principios de la economía doméstica.";"a) investigar, determinar y brindar asesoramiento respecto del nivel de ventas para ciertos productos o servicios y los posibles mercados y tendencias futuras;

b) planificar o dirigir y coordinar la organización de campañas publicitarias, y asesorar al respecto;

c) estudiar y llevar a cabo programas de relaciones públicas a fin de mejorar la información y comprensión del público acerca de la empresa o estableci- miento de que se trate;

d) asesorar sobre marcas y patentes, ayudar a preparar solicitudes de marcas o patentes o a examinar las solicitudes presentadas para su registro y preparar informes exponiendo las razones por las cuales se debiera conceder o denegar una marca o patente;

e) estudiar aspectos financieros y legales, de organización, de comercialización y de otra índole relacionados con la creación y marcha de un negocio, y asesorar al respecto;

f) estudiar e interpretar los principios de la economía doméstica y de la gestión y brindar asesoramiento pertinente a fin de promover el bienestar de las familias, el consumo de artículos domésticos en los hogares o la producción de nuevos bienes o servicios;

g) desempeñar tareas afines;

h) supervisar a otros trabajadores.";;"Agente, marcas y patentes

Analista, mercados

Ecónomo, economía doméstica

Especialista, relaciones públicas

Publicista, responsable de campana publicitaria

Director de departamento, producción y operaciones/industria manufacturera - 1222"
2423;Especialistas en políticas y servicios de personal y afines;Los especialistas en políticas y servicios de personal y afines brindan servicios profesionales en relación con diversos aspectos de las políticas y administración de personal, como contratación, carrera profesional, análisis de ocupaciones y orientación profesional.;"a) desempeñar funciones de política o administración de personal en esferas como la contratación, colocación, formación, ascenso e indemnización de trabajadores y relaciones de trabajo, y asesorar al respecto;

b) estudiar y analizar las tareas realizadas en un establecimiento por distintos medios, incluidas entrevistas con los trabajadores, los supervisores y la dirección, y redactar y sistematizar descripciones detalladas de las tareas o de los puestos de trabajo a partir de los datos obtenidos;

c) preparar manuales de información profesional u ocupacional o sistemas de clasificación de ocupaciones;

d) estudiar las cuestiones enumeradas en los precedentes apartados y otros aspectos de los análisis de tareas y ocupaciones en relación con esferas como la administración, investigación, planificación y formación de mano de obra e información y orientación profesionales, y asesorar al respecto;

e) estudiar las oportunidades de empleo, posibilidades de carrera profesional y necesidades de educación, instrucción o formación complementaria que se planteen y asesorar a las personas interesadas;

f) desempeñar tareas afines;

g) supervisar a otros trabajadores.";;"Analista, profesiones
Analista, puestos de trabajo
Consejero, orientación profesional
Consejero, perspectivas de carrera"
2424;Especialistas en formación del personal;Los especialistas en políticas y servicios de personal y afines brindan servicios profesionales en relación con diversos aspectos de las políticas y administración de personal, como contratación, carrera profesional, análisis de ocupaciones y orientación profesional.;"a) desempeñar funciones de política o administración de personal en esferas como la contratación, colocación, formación, ascenso e indemnización de trabajadores y relaciones de trabajo, y asesorar al respecto;

b) estudiar y analizar las tareas realizadas en un establecimiento por distintos medios, incluidas entrevistas con los trabajadores, los supervisores y la dirección, y redactar y sistematizar descripciones detalladas de las tareas o de los puestos de trabajo a partir de los datos obtenidos;

c) preparar manuales de información profesional u ocupacional o sistemas de clasificación de ocupaciones;

d) estudiar las cuestiones enumeradas en los precedentes apartados y otros aspectos de los análisis de tareas y ocupaciones en relación con esferas como la administración, investigación, planificación y formación de mano de obra e información y orientación profesionales, y asesorar al respecto;

e) estudiar las oportunidades de empleo, posibilidades de carrera profesional y necesidades de educación, instrucción o formación complementaria que se planteen y asesorar a las personas interesadas;

f) desempeñar tareas afines;

g) supervisar a otros trabajadores.";;"Analista, profesiones
Analista, puestos de trabajo
Consejero, orientación profesional
Consejero, perspectivas de carrera"
243;Profesionales de las ventas, la comercialización y las relaciones públicas;Los archiveros, bibliotecarios, documentalistas y afines tienen a su cargo la constitución, desarrollo y conservación de las colecciones de archivos, museos, bibliotecas, galerías de arte e instituciones y establecimientos similares.;"Las tareas desempeñadas por lo común incluyen las siguientes: investigar, estudiar y evaluar obras de diversa índole de interés histórico, cultural o artístico; incorporarlas en colecciones existentes o en nuevas colecciones y garantizar su preservación en condiciones seguras; organizar tales colecciones y exhibirlas en museos e instituciones y establecimientos similares; ampliar y conservar colecciones sistemáticas de obras publicadas, grabaciones sonoras y películas y ponerlas a disposición de los usuarios en las bibliotecas, archivos y otras instituciones similares y preparar ponencias e informes de carácter académico o científico. Esas tareas pueden incluir la supervisión de otros trabajadores.";;
2431;Profesionales de la publicidad y la comercialización;"Este grupo primario abarca a los especialistas en organización y administración de empresas y afines no clasificados separadamente en el subgrupo 241 : Especialistas en organización y administración de empresas y afines.

Por ejemplo, habrá que clasificar en este grupo primario a los especialistas que estudian, aplican o brindan asesoramiento respecto de diversos métodos y técnicas de gestión de empresas en esferas relativas a la comercialización, publicidad, relaciones públicas, aplicación de normas sobre patentes y marcas, consultoría sobre el establecimiento y funcionamiento de un negocio, y formas de aplicar los principios de la economía doméstica.";"a) investigar, determinar y brindar asesoramiento respecto del nivel de ventas para ciertos productos o servicios y los posibles mercados y tendencias futuras;

b) planificar o dirigir y coordinar la organización de campañas publicitarias, y asesorar al respecto;

c) estudiar y llevar a cabo programas de relaciones públicas a fin de mejorar la información y comprensión del público acerca de la empresa o estableci- miento de que se trate;

d) asesorar sobre marcas y patentes, ayudar a preparar solicitudes de marcas o patentes o a examinar las solicitudes presentadas para su registro y preparar informes exponiendo las razones por las cuales se debiera conceder o denegar una marca o patente;

e) estudiar aspectos financieros y legales, de organización, de comercialización y de otra índole relacionados con la creación y marcha de un negocio, y asesorar al respecto;

f) estudiar e interpretar los principios de la economía doméstica y de la gestión y brindar asesoramiento pertinente a fin de promover el bienestar de las familias, el consumo de artículos domésticos en los hogares o la producción de nuevos bienes o servicios;

g) desempeñar tareas afines;

h) supervisar a otros trabajadores.";;"Agente, marcas y patentes

Analista, mercados

Ecónomo, economía doméstica

Especialista, relaciones públicas

Publicista, responsable de campana publicitaria

Director de departamento, producción y operaciones/industria manufacturera - 1222"
2432;Profesionales de relaciones públicas;"Este grupo primario abarca a los especialistas en organización y administración de empresas y afines no clasificados separadamente en el subgrupo 241 : Especialistas en organización y administración de empresas y afines.

Por ejemplo, habrá que clasificar en este grupo primario a los especialistas que estudian, aplican o brindan asesoramiento respecto de diversos métodos y técnicas de gestión de empresas en esferas relativas a la comercialización, publicidad, relaciones públicas, aplicación de normas sobre patentes y marcas, consultoría sobre el establecimiento y funcionamiento de un negocio, y formas de aplicar los principios de la economía doméstica.";"a) investigar, determinar y brindar asesoramiento respecto del nivel de ventas para ciertos productos o servicios y los posibles mercados y tendencias futuras;

b) planificar o dirigir y coordinar la organización de campañas publicitarias, y asesorar al respecto;

c) estudiar y llevar a cabo programas de relaciones públicas a fin de mejorar la información y comprensión del público acerca de la empresa o estableci- miento de que se trate;

d) asesorar sobre marcas y patentes, ayudar a preparar solicitudes de marcas o patentes o a examinar las solicitudes presentadas para su registro y preparar informes exponiendo las razones por las cuales se debiera conceder o denegar una marca o patente;

e) estudiar aspectos financieros y legales, de organización, de comercialización y de otra índole relacionados con la creación y marcha de un negocio, y asesorar al respecto;

f) estudiar e interpretar los principios de la economía doméstica y de la gestión y brindar asesoramiento pertinente a fin de promover el bienestar de las familias, el consumo de artículos domésticos en los hogares o la producción de nuevos bienes o servicios;

g) desempeñar tareas afines;

h) supervisar a otros trabajadores.";;"Agente, marcas y patentes

Analista, mercados

Ecónomo, economía doméstica

Especialista, relaciones públicas

Publicista, responsable de campana publicitaria

Director de departamento, producción y operaciones/industria manufacturera - 1222"
2433;Profesionales de ventas técnicas y médicas (excluyendo la TIC);Los representantes comerciales y técnicos de ventas venden bienes y servicios al por mayor, inclusive instalaciones, máquinas y artículos de uso técnico, y proporcionan información especializada cuando esto se requiere.;"a) obtener órdenes de compra y vender bienes y servicios a establecimientos industriales y empresas minoristas o mayoristas o de otra índole;

b) vender equipos, aparatos e instrumentos técnicos, repuestos y otros suministros, con los servicios que requieran, a empresas comerciales, industriales o de otra índole y a clientes particulares;

c) proporcionar a los clientes y presuntos compradores información general o técnica acerca de las características y funcionamiento del material técnico en venta y demostrar su utilización;

d) informar a los fabricantes acerca de la reacción y las necesidades de los usuarios;

e) desempeñar tareas afines;

f) supervisar a otros trabajadores.";;"Agente, ventas/comercio

Consejero, servicios postventa

Corredor, fábrica

Viajante, comercio

Agente, compras/productos básicos - 3421

Vendedor, tienda - 5220"
2434;Profesionales de ventas de tecnología de la información y las comunicaciones;Los representantes comerciales y técnicos de ventas venden bienes y servicios al por mayor, inclusive instalaciones, máquinas y artículos de uso técnico, y proporcionan información especializada cuando esto se requiere.;"a) obtener órdenes de compra y vender bienes y servicios a establecimientos industriales y empresas minoristas o mayoristas o de otra índole;

b) vender equipos, aparatos e instrumentos técnicos, repuestos y otros suministros, con los servicios que requieran, a empresas comerciales, industriales o de otra índole y a clientes particulares;

c) proporcionar a los clientes y presuntos compradores información general o técnica acerca de las características y funcionamiento del material técnico en venta y demostrar su utilización;

d) informar a los fabricantes acerca de la reacción y las necesidades de los usuarios;

e) desempeñar tareas afines;

f) supervisar a otros trabajadores.";;"Agente, ventas/comercio

Consejero, servicios postventa

Corredor, fábrica

Viajante, comercio

Agente, compras/productos básicos - 3421

Vendedor, tienda - 5220"
25;Profesionales de tecnología de la información y las comunicaciones;;;;
251;Desarrolladores y analistas de software y multimedia;;;;
2511;Analistas de sistemas;Los creadores y analistas de sistemas informáticos investigan, perfeccionan o desarrollan conceptos y métodos de informática y trabajan en su aplicación o asesoramiento pertinentes.;"a) realizar investigaciones acerca de los principios y métodos informáticos, incluidos los sistemas de comunicación y tratamiento de datos e informa- ciones; la planificación, la proyección, la producción y el control de la arquitectura de las computadoras; el desarrollo y mantenimiento de programas y soportes lógicos, y la estructura y sistematización de datos, las bases de datos, los algoritmos, la inteligencia artificial y la robótica;

b) mantener actualizados. y en buen funcionamiento los diccionarios de datos y los sistemas de gestión de datos para garantizar la validez e integridad de la información registrada por medios informáticos;

c) contribuir a los adelantos técnicos y mantenerse al corriente de éstos en lo que concierne a las computadoras, los instrumentos, aparatos y unidades periféricos y los métodos operativos en informática, así como los programas y soportes lógicos pertinentes, profundizando sus posibilidades de desarrollo y sus limitaciones;

d) analizar las necesidades de los usuarios de computadoras, en consulta con ellos, para determinar configuraciones de computadoras y programas y soportes lógicos, prever futuras orientaciones en su desarrollo y preparar análisis de costos en relación con los beneficios;

e) escribir especificaciones de programa y preparar informes técnicos y manuales de instrucciones sobre métodos de funcionamiento y mantenimiento de las configuraciones de computadoras y programas y soportes lógicos;

f) idear, proyectar, desarrollar por escrito, mantener en buenas condiciones y perfeccionar los programas lógicos que rigen el funcionamiento general de las computadoras y el enlace de éstos con los programas lógicos de aplicación;

g) proyectar y realizar redes de comunicación entre diferentes instalaciones informáticas;

h) idear y desarrollar métodos e instrumentos perfeccionados, inclusive lenguajes informáticos, para preparar, exponer sistemáticamente, documentar y mantener en buenas condiciones programas y soportes lógicos informáticos;

i) preparar ponencias e informes de carácter académico o científico;

j) desempeñar tareas afines;

k) supervisar a otros trabajadores.";;"Analista, banco de datos/sistemas informáticos

Analista, sistemas informáticos

Analista, transmisiones/sistemas informáticos

Creador, sistemas informáticos

Ingeniero, sistemas informáticos

Ingeniero, aplicaciones de la informática - 2139

Técnico, análisis informático - 3121"
2512;Desarrolladores de software;Los creadores y analistas de sistemas informáticos investigan, perfeccionan o desarrollan conceptos y métodos de informática y trabajan en su aplicación o asesoramiento pertinentes.;"a) realizar investigaciones acerca de los principios y métodos informáticos, incluidos los sistemas de comunicación y tratamiento de datos e informa- ciones; la planificación, la proyección, la producción y el control de la arquitectura de las computadoras; el desarrollo y mantenimiento de programas y soportes lógicos, y la estructura y sistematización de datos, las bases de datos, los algoritmos, la inteligencia artificial y la robótica;

b) mantener actualizados. y en buen funcionamiento los diccionarios de datos y los sistemas de gestión de datos para garantizar la validez e integridad de la información registrada por medios informáticos;

c) contribuir a los adelantos técnicos y mantenerse al corriente de éstos en lo que concierne a las computadoras, los instrumentos, aparatos y unidades periféricos y los métodos operativos en informática, así como los programas y soportes lógicos pertinentes, profundizando sus posibilidades de desarrollo y sus limitaciones;

d) analizar las necesidades de los usuarios de computadoras, en consulta con ellos, para determinar configuraciones de computadoras y programas y soportes lógicos, prever futuras orientaciones en su desarrollo y preparar análisis de costos en relación con los beneficios;

e) escribir especificaciones de programa y preparar informes técnicos y manuales de instrucciones sobre métodos de funcionamiento y mantenimiento de las configuraciones de computadoras y programas y soportes lógicos;

f) idear, proyectar, desarrollar por escrito, mantener en buenas condiciones y perfeccionar los programas lógicos que rigen el funcionamiento general de las computadoras y el enlace de éstos con los programas lógicos de aplicación;

g) proyectar y realizar redes de comunicación entre diferentes instalaciones informáticas;

h) idear y desarrollar métodos e instrumentos perfeccionados, inclusive lenguajes informáticos, para preparar, exponer sistemáticamente, documentar y mantener en buenas condiciones programas y soportes lógicos informáticos;

i) preparar ponencias e informes de carácter académico o científico;

j) desempeñar tareas afines;

k) supervisar a otros trabajadores.";;"Analista, banco de datos/sistemas informáticos

Analista, sistemas informáticos

Analista, transmisiones/sistemas informáticos

Creador, sistemas informáticos

Ingeniero, sistemas informáticos

Ingeniero, aplicaciones de la informática - 2139

Técnico, análisis informático - 3121"
2513;Desarrolladores Web y multimedia;Los creadores y analistas de sistemas informáticos investigan, perfeccionan o desarrollan conceptos y métodos de informática y trabajan en su aplicación o asesoramiento pertinentes.;"a) realizar investigaciones acerca de los principios y métodos informáticos, incluidos los sistemas de comunicación y tratamiento de datos e informa- ciones; la planificación, la proyección, la producción y el control de la arquitectura de las computadoras; el desarrollo y mantenimiento de programas y soportes lógicos, y la estructura y sistematización de datos, las bases de datos, los algoritmos, la inteligencia artificial y la robótica;

b) mantener actualizados. y en buen funcionamiento los diccionarios de datos y los sistemas de gestión de datos para garantizar la validez e integridad de la información registrada por medios informáticos;

c) contribuir a los adelantos técnicos y mantenerse al corriente de éstos en lo que concierne a las computadoras, los instrumentos, aparatos y unidades periféricos y los métodos operativos en informática, así como los programas y soportes lógicos pertinentes, profundizando sus posibilidades de desarrollo y sus limitaciones;

d) analizar las necesidades de los usuarios de computadoras, en consulta con ellos, para determinar configuraciones de computadoras y programas y soportes lógicos, prever futuras orientaciones en su desarrollo y preparar análisis de costos en relación con los beneficios;

e) escribir especificaciones de programa y preparar informes técnicos y manuales de instrucciones sobre métodos de funcionamiento y mantenimiento de las configuraciones de computadoras y programas y soportes lógicos;

f) idear, proyectar, desarrollar por escrito, mantener en buenas condiciones y perfeccionar los programas lógicos que rigen el funcionamiento general de las computadoras y el enlace de éstos con los programas lógicos de aplicación;

g) proyectar y realizar redes de comunicación entre diferentes instalaciones informáticas;

h) idear y desarrollar métodos e instrumentos perfeccionados, inclusive lenguajes informáticos, para preparar, exponer sistemáticamente, documentar y mantener en buenas condiciones programas y soportes lógicos informáticos;

i) preparar ponencias e informes de carácter académico o científico;

j) desempeñar tareas afines;

k) supervisar a otros trabajadores.";;"Analista, banco de datos/sistemas informáticos

Analista, sistemas informáticos

Analista, transmisiones/sistemas informáticos

Creador, sistemas informáticos

Ingeniero, sistemas informáticos

Ingeniero, aplicaciones de la informática - 2139

Técnico, análisis informático - 3121"
2514;Programadores de aplicaciones;Los programadores informáticos elaboran, ensayan y mantienen en buen estado soportes lógicos o programas para computadoras ideados con objeto de cubrir las necesidades prácticas de los usuarios de sistemas informáticos.;"a) determinar, en consulta con los Creadores y analistas de sistemas informá- ticos y los especialistas en las materias de que se trate, los objetivos perseguidos con distintos programas, la información u otros resultados exigidos, la naturaleza y fuentes de los datos que habrá que introducir y ordenar y las comprobaciones y otros controles necesarios;

b) preparar gráficos y diagramas sistemáticos para describir en términos lógicos el ordenamiento de las labores y determinar en qué secuencias habrá que proceder al registro de datos y al tratamiento por computadora;

c) desarrollar por escrito y proporcionar documentación detallada sobre los programas informáticos recurriendo para ello a un lenguaje en código numérico, mnemotécnico, procesal o lógico, como pueden ser los lenguajes PL-l, COBOL, FORTRAN, PASCAL, BASIC o C, basándose cuando sea necesario en especificaciones determinadas por los Creadores y analistas de sistemas informáticos, y proceder a ensayos y pruebas de los programas para eliminar deficiencias y errores;

d) mantener actualizados los programas lógicos y la documentación pertinente para que reflejen las modificaciones relativas a los datos e informaciones que se pueden registrar y los resultados que se pueden obtener, así como las que se refieren a cambios de configuración;

e) desempeñar tareas afines;

f) supervisar a otros trabajadores.";;"Programador, informática
Programador, banco de datos
Programador, transmisiones"
2519;Desarrolladores y analistas de software y multimedia y analistas no clasificados bajo otros epígrafes;Los creadores y analistas de sistemas informáticos investigan, perfeccionan o desarrollan conceptos y métodos de informática y trabajan en su aplicación o asesoramiento pertinentes.;"a) realizar investigaciones acerca de los principios y métodos informáticos, incluidos los sistemas de comunicación y tratamiento de datos e informa- ciones; la planificación, la proyección, la producción y el control de la arquitectura de las computadoras; el desarrollo y mantenimiento de programas y soportes lógicos, y la estructura y sistematización de datos, las bases de datos, los algoritmos, la inteligencia artificial y la robótica;

b) mantener actualizados. y en buen funcionamiento los diccionarios de datos y los sistemas de gestión de datos para garantizar la validez e integridad de la información registrada por medios informáticos;

c) contribuir a los adelantos técnicos y mantenerse al corriente de éstos en lo que concierne a las computadoras, los instrumentos, aparatos y unidades periféricos y los métodos operativos en informática, así como los programas y soportes lógicos pertinentes, profundizando sus posibilidades de desarrollo y sus limitaciones;

d) analizar las necesidades de los usuarios de computadoras, en consulta con ellos, para determinar configuraciones de computadoras y programas y soportes lógicos, prever futuras orientaciones en su desarrollo y preparar análisis de costos en relación con los beneficios;

e) escribir especificaciones de programa y preparar informes técnicos y manuales de instrucciones sobre métodos de funcionamiento y mantenimiento de las configuraciones de computadoras y programas y soportes lógicos;

f) idear, proyectar, desarrollar por escrito, mantener en buenas condiciones y perfeccionar los programas lógicos que rigen el funcionamiento general de las computadoras y el enlace de éstos con los programas lógicos de aplicación;

g) proyectar y realizar redes de comunicación entre diferentes instalaciones informáticas;

h) idear y desarrollar métodos e instrumentos perfeccionados, inclusive lenguajes informáticos, para preparar, exponer sistemáticamente, documentar y mantener en buenas condiciones programas y soportes lógicos informáticos;

i) preparar ponencias e informes de carácter académico o científico;

j) desempeñar tareas afines;

k) supervisar a otros trabajadores.";;"Analista, banco de datos/sistemas informáticos

Analista, sistemas informáticos

Analista, transmisiones/sistemas informáticos

Creador, sistemas informáticos

Ingeniero, sistemas informáticos

Ingeniero, aplicaciones de la informática - 2139

Técnico, análisis informático - 3121"
252;Especialistas en bases de datos y en redes de computadores;;;;
2521;Diseñadores y administradores de bases de datos;Los creadores y analistas de sistemas informáticos investigan, perfeccionan o desarrollan conceptos y métodos de informática y trabajan en su aplicación o asesoramiento pertinentes.;"a) realizar investigaciones acerca de los principios y métodos informáticos, incluidos los sistemas de comunicación y tratamiento de datos e informa- ciones; la planificación, la proyección, la producción y el control de la arquitectura de las computadoras; el desarrollo y mantenimiento de programas y soportes lógicos, y la estructura y sistematización de datos, las bases de datos, los algoritmos, la inteligencia artificial y la robótica;

b) mantener actualizados. y en buen funcionamiento los diccionarios de datos y los sistemas de gestión de datos para garantizar la validez e integridad de la información registrada por medios informáticos;

c) contribuir a los adelantos técnicos y mantenerse al corriente de éstos en lo que concierne a las computadoras, los instrumentos, aparatos y unidades periféricos y los métodos operativos en informática, así como los programas y soportes lógicos pertinentes, profundizando sus posibilidades de desarrollo y sus limitaciones;

d) analizar las necesidades de los usuarios de computadoras, en consulta con ellos, para determinar configuraciones de computadoras y programas y soportes lógicos, prever futuras orientaciones en su desarrollo y preparar análisis de costos en relación con los beneficios;

e) escribir especificaciones de programa y preparar informes técnicos y manuales de instrucciones sobre métodos de funcionamiento y mantenimiento de las configuraciones de computadoras y programas y soportes lógicos;

f) idear, proyectar, desarrollar por escrito, mantener en buenas condiciones y perfeccionar los programas lógicos que rigen el funcionamiento general de las computadoras y el enlace de éstos con los programas lógicos de aplicación;

g) proyectar y realizar redes de comunicación entre diferentes instalaciones informáticas;

h) idear y desarrollar métodos e instrumentos perfeccionados, inclusive lenguajes informáticos, para preparar, exponer sistemáticamente, documentar y mantener en buenas condiciones programas y soportes lógicos informáticos;

i) preparar ponencias e informes de carácter académico o científico;

j) desempeñar tareas afines;

k) supervisar a otros trabajadores.";;"Analista, banco de datos/sistemas informáticos

Analista, sistemas informáticos

Analista, transmisiones/sistemas informáticos

Creador, sistemas informáticos

Ingeniero, sistemas informáticos

Ingeniero, aplicaciones de la informática - 2139

Técnico, análisis informático - 3121"
2522;Administradores de sistemas;Los creadores y analistas de sistemas informáticos investigan, perfeccionan o desarrollan conceptos y métodos de informática y trabajan en su aplicación o asesoramiento pertinentes.;"a) realizar investigaciones acerca de los principios y métodos informáticos, incluidos los sistemas de comunicación y tratamiento de datos e informa- ciones; la planificación, la proyección, la producción y el control de la arquitectura de las computadoras; el desarrollo y mantenimiento de programas y soportes lógicos, y la estructura y sistematización de datos, las bases de datos, los algoritmos, la inteligencia artificial y la robótica;

b) mantener actualizados. y en buen funcionamiento los diccionarios de datos y los sistemas de gestión de datos para garantizar la validez e integridad de la información registrada por medios informáticos;

c) contribuir a los adelantos técnicos y mantenerse al corriente de éstos en lo que concierne a las computadoras, los instrumentos, aparatos y unidades periféricos y los métodos operativos en informática, así como los programas y soportes lógicos pertinentes, profundizando sus posibilidades de desarrollo y sus limitaciones;

d) analizar las necesidades de los usuarios de computadoras, en consulta con ellos, para determinar configuraciones de computadoras y programas y soportes lógicos, prever futuras orientaciones en su desarrollo y preparar análisis de costos en relación con los beneficios;

e) escribir especificaciones de programa y preparar informes técnicos y manuales de instrucciones sobre métodos de funcionamiento y mantenimiento de las configuraciones de computadoras y programas y soportes lógicos;

f) idear, proyectar, desarrollar por escrito, mantener en buenas condiciones y perfeccionar los programas lógicos que rigen el funcionamiento general de las computadoras y el enlace de éstos con los programas lógicos de aplicación;

g) proyectar y realizar redes de comunicación entre diferentes instalaciones informáticas;

h) idear y desarrollar métodos e instrumentos perfeccionados, inclusive lenguajes informáticos, para preparar, exponer sistemáticamente, documentar y mantener en buenas condiciones programas y soportes lógicos informáticos;

i) preparar ponencias e informes de carácter académico o científico;

j) desempeñar tareas afines;

k) supervisar a otros trabajadores.";;"Analista, banco de datos/sistemas informáticos

Analista, sistemas informáticos

Analista, transmisiones/sistemas informáticos

Creador, sistemas informáticos

Ingeniero, sistemas informáticos

Ingeniero, aplicaciones de la informática - 2139

Técnico, análisis informático - 3121"
2523;Profesionales en redes de computadores;Los creadores y analistas de sistemas informáticos investigan, perfeccionan o desarrollan conceptos y métodos de informática y trabajan en su aplicación o asesoramiento pertinentes.;"a) realizar investigaciones acerca de los principios y métodos informáticos, incluidos los sistemas de comunicación y tratamiento de datos e informa- ciones; la planificación, la proyección, la producción y el control de la arquitectura de las computadoras; el desarrollo y mantenimiento de programas y soportes lógicos, y la estructura y sistematización de datos, las bases de datos, los algoritmos, la inteligencia artificial y la robótica;

b) mantener actualizados. y en buen funcionamiento los diccionarios de datos y los sistemas de gestión de datos para garantizar la validez e integridad de la información registrada por medios informáticos;

c) contribuir a los adelantos técnicos y mantenerse al corriente de éstos en lo que concierne a las computadoras, los instrumentos, aparatos y unidades periféricos y los métodos operativos en informática, así como los programas y soportes lógicos pertinentes, profundizando sus posibilidades de desarrollo y sus limitaciones;

d) analizar las necesidades de los usuarios de computadoras, en consulta con ellos, para determinar configuraciones de computadoras y programas y soportes lógicos, prever futuras orientaciones en su desarrollo y preparar análisis de costos en relación con los beneficios;

e) escribir especificaciones de programa y preparar informes técnicos y manuales de instrucciones sobre métodos de funcionamiento y mantenimiento de las configuraciones de computadoras y programas y soportes lógicos;

f) idear, proyectar, desarrollar por escrito, mantener en buenas condiciones y perfeccionar los programas lógicos que rigen el funcionamiento general de las computadoras y el enlace de éstos con los programas lógicos de aplicación;

g) proyectar y realizar redes de comunicación entre diferentes instalaciones informáticas;

h) idear y desarrollar métodos e instrumentos perfeccionados, inclusive lenguajes informáticos, para preparar, exponer sistemáticamente, documentar y mantener en buenas condiciones programas y soportes lógicos informáticos;

i) preparar ponencias e informes de carácter académico o científico;

j) desempeñar tareas afines;

k) supervisar a otros trabajadores.";;"Analista, banco de datos/sistemas informáticos

Analista, sistemas informáticos

Analista, transmisiones/sistemas informáticos

Creador, sistemas informáticos

Ingeniero, sistemas informáticos

Ingeniero, aplicaciones de la informática - 2139

Técnico, análisis informático - 3121"
2529;Especialistas en bases de datos y en redes de computadores no clasificados bajo otros epígrafes;Los creadores y analistas de sistemas informáticos investigan, perfeccionan o desarrollan conceptos y métodos de informática y trabajan en su aplicación o asesoramiento pertinentes.;"a) realizar investigaciones acerca de los principios y métodos informáticos, incluidos los sistemas de comunicación y tratamiento de datos e informa- ciones; la planificación, la proyección, la producción y el control de la arquitectura de las computadoras; el desarrollo y mantenimiento de programas y soportes lógicos, y la estructura y sistematización de datos, las bases de datos, los algoritmos, la inteligencia artificial y la robótica;

b) mantener actualizados. y en buen funcionamiento los diccionarios de datos y los sistemas de gestión de datos para garantizar la validez e integridad de la información registrada por medios informáticos;

c) contribuir a los adelantos técnicos y mantenerse al corriente de éstos en lo que concierne a las computadoras, los instrumentos, aparatos y unidades periféricos y los métodos operativos en informática, así como los programas y soportes lógicos pertinentes, profundizando sus posibilidades de desarrollo y sus limitaciones;

d) analizar las necesidades de los usuarios de computadoras, en consulta con ellos, para determinar configuraciones de computadoras y programas y soportes lógicos, prever futuras orientaciones en su desarrollo y preparar análisis de costos en relación con los beneficios;

e) escribir especificaciones de programa y preparar informes técnicos y manuales de instrucciones sobre métodos de funcionamiento y mantenimiento de las configuraciones de computadoras y programas y soportes lógicos;

f) idear, proyectar, desarrollar por escrito, mantener en buenas condiciones y perfeccionar los programas lógicos que rigen el funcionamiento general de las computadoras y el enlace de éstos con los programas lógicos de aplicación;

g) proyectar y realizar redes de comunicación entre diferentes instalaciones informáticas;

h) idear y desarrollar métodos e instrumentos perfeccionados, inclusive lenguajes informáticos, para preparar, exponer sistemáticamente, documentar y mantener en buenas condiciones programas y soportes lógicos informáticos;

i) preparar ponencias e informes de carácter académico o científico;

j) desempeñar tareas afines;

k) supervisar a otros trabajadores.";;"Analista, banco de datos/sistemas informáticos

Analista, sistemas informáticos

Analista, transmisiones/sistemas informáticos

Creador, sistemas informáticos

Ingeniero, sistemas informáticos

Ingeniero, aplicaciones de la informática - 2139

Técnico, análisis informático - 3121"
26;Profesionales en derecho, en ciencias sociales y culturales;;;;
261;Profesionales en derecho;;;;
