competencias;comp_original;parent_cod;cod
informar cliente eventuale acerca condicione perspectiva mercado;Informar a clientes eventuales acerca de las condiciones y perspectivas del mercado;c02202;c0220252
informar fabricante acerca reacción necesidade usuarios;Informar a los fabricantes acerca de la reacción y las necesidades de los usuarios;c02202;c0220253
ing informatica afine experiencia año auditoria consultoria sistema tecnologia informacion ingle nivel avanzado excel nivel intermedio superior deseable conocimiento sox;Ing informatica o afines experiencia de  año en auditoria o consultoria de sistemas o tecnologia de la informacion ingles a nivel avanzado excel a nivel intermedio superior deseable conocimiento sox;c00111;c0011142
ingenieria afine experiencia año ma area planeamiento control gestion financiera especializacion finanza analisi ratio financiero conocimiento sistema bancario deseable indispensable conocimiento avanzado herramienta manejo base datos;Ingenieria o afines experiencia de  años a mas en areas de planeamiento y control de gestion financiera especializacion en finanzas  analisis de ratios financieros conocimiento del sistema bancario deseable indispensable conocimiento avanzado de herramientas de manejo de base de datos;c00111;c0011143
ingenieria informacion carrera afine certificacion herramienta inteligencia negocio administracion base dato microsoft conocimiento manejo servicio cloud;Ingenieria de la informacion o carreras afines certificacion en herramientas de inteligencia de negocios y administracion de bases de datos en microsoft conocimiento y manejo de servicios cloud;c00111;c0011144
ingenieria telecomunicacione afine mese experiencia cargo relacionado proceso tecnologico seguridad informacion preferiblemente contar curso certificacione seguridad informacion indispensable conocimiento rede telecomunicaciones;Ingenieria de telecomunicaciones o afines con  meses de experiencia en cargos relacionados con procesos tecnologicos de seguridad de la informacion y preferiblemente contar con cursos o certificaciones en seguridad de la informacion indispensable conocimiento en redes y telecomunicaciones;c00111;c0011145
ingresar dato ordenadore computadora realizar operacione numérica : llevar registro existencia producción archivo conexos;Ingresar datos en ordenadores o computadoras y realizar operaciones numéricas: llevar registros de existencias y producción y otros archivos conexos;c00025;c0002561
inspeccionar obra emplazamiento consultar cliente formular recomendacione acerca estilo aspecto construccione previstas;Inspeccionar obras y emplazamientos consultar con el cliente y formular recomendaciones acerca del estilo y otros aspectos de las construcciones previstas;c02202;c0220254
instalar computadora establecer diagnóstico equipo instala- cione informáticos;Instalar computadoras y establecer diagnósticos sobre equipos e instala- ciones informáticos;c00025;c0002562
instalar erigir grande estructura metálica aparejo equipo similares;Instalar y erigir grandes estructuras metálicas aparejos y equipos similares;c00025;c0002563
instalar nueva unidade periférica hacer ajuste necesario elemento variable programa código control numérico computadora mecanismo activar sistema operativo;Instalar nuevas unidades periféricas y hacer los ajustes necesarios en los elementos variables de los programas de código y control numérico de las computadoras y de los mecanismos para activar el sistema operativo;c00025;c0002564
instalar nuevo programa informático determinada configuracione equipo sistema operativos;Instalar nuevos programas informáticos en determinadas configuraciones de equipos y sistemas operativos;c00025;c0002565
instalar reparar línea eléctrica aérea subterránea alimentación tracción;Instalar y reparar líneas eléctricas aéreas y subterráneas de alimentación y tracción;c00025;c0002566
instalar reparar línea telefónica telegráfica aérea subterráneas;Instalar y reparar líneas telefónicas y telegráficas aéreas y subterráneas;c00025;c0002567
integracion dato tecnologia etl framework orquestacion;Integracion de datos con tecnologias etl y frameworks de orquestacion;c00111;c0011146
intercambiadore calor separadore requisito ingeniero quimico estudiante avanzado experiencia meno año empresa oilga area proceso nivel intermedio hysy instrucalc aft edr manejo autocad d ingle intermedioavanzado beneficio empresa ofrece excelente plan compensacion beneficios;Intercambiadores de calor yo separadores   requisitos   ingeniero quimico o estudiante avanzado experiencia de al menos  año en empresas de oilgas en area de procesos nivel intermedio de hysys instrucalc aft edr manejo de autocad d ingles intermedioavanzado  beneficios  la empresa ofrece excelente plan de compensacion y beneficios;c00025;c0002568
interpretar resultado investigacione preparar informe mapa carta diagrama geológicos;Interpretar los resultados de las investigaciones y preparar informes mapas cartas y diagramas geológicos;c02202;c0220255
introducir cambio reajuste escasa complejidad importancia programa existente actualizarlo asegurar utilización completa;Introducir cambios y reajustes de escasa complejidad o importancia en los programas existentes para actualizarlos y asegurar su utilización completa;c02200;c0220074
introducir mantener vigor programa informático actualizarlo introduciendo cambio reajuste escasa complejidad importancia bajo orientación profesionale informática;Introducir y mantener en vigor programas informáticos y actualizarlos introduciendo cambios y reajustes en ellos de escasa complejidad o importancia bajo la orientación de profesionales de la informática;c00025;c0002569
investigar ampliar aplicar asesorar conocimiento científico adquirido mediante estudio estructura propiedade materia fenómeno físico característica proceso químico diversa sustancia materiale producto concepto método matemático estadístico informático proyectar dirigir construcción edificio obra pública ciudade sistema tránsito estructura instalacione máquina equipo industriale incluido minería así operacione distinta rama ingeniería informática;investigar ampliar aplicar o asesorar sobre los conocimientos científicos adquiridos mediante el estudio de las estructuras y propiedades de la materia y los fenómenos físicos de las características y procesos químicos de diversas sustancias materiales y productos y de conceptos y métodos matemáticos estadísticos e informáticos proyectar y dirigir la construcción de edificios obras públicas ciudades y sistemas de tránsito y de estructuras instalaciones máquinas y equipos industriales incluidos los de la minería así como las operaciones en distintas ramas de la ingeniería y de la informática;c02200;c0220075
investigar determinar brindar asesoramiento respecto nivel venta cierto producto servicio posible mercado tendencia futuras;Investigar determinar y brindar asesoramiento respecto del nivel de ventas para ciertos productos o servicios y los posibles mercados y tendencias futuras;c02200;c0220076
investigar dirección velocidad masa aire presione temperatura grado humedad fenómeno formación nube precipitacione perturbacione eléctrica radiación solar;Investigar la dirección y velocidad de las masas de aire las presiones temperaturas grado de humedad y otros fenómenos como formación de nubes y precipitaciones perturbaciones eléctricas o radiación solar;c00025;c0002570
investigar estudiar evaluar obra diversa índole interé histórico cultural artístico;investigar estudiar y evaluar obras de diversa índole de interés histórico cultural o artístico;c00044;c0004449
investigar origen difusión distribución utilización materiale objeto interé histórico cultural;Investigar el origen difusión distribución y utilización de los materiales y objetos de interés histórico y cultural;c00025;c0002571
iso iso ingle ( intermedio ) conocimiento ( nivel intermedio ) cobit;Iso e iso ingles (intermedio)     conocimientos (nivel intermedio)  cobit;c00111;c0011147
itil similar competencia tecnica requerida gestion herramienta software modelado proceso ( ejemplo bizagi visio etc ) conocimiento office valorara excel avanzado conocimiento sql server base dato competencia actitudinale requerida dinamismo planificacion organizacion autonomia relacionamiento interpersonal trabajo equipo comunicacion liderazgo foco cliente show more;Itil o similar  competencias tecnicas requeridas  gestion de herramientas de software para el modelado de procesos (ejemplo bizagi visio etc) conocimiento de office se valorara excel avanzado conocimientos de sql server base de datos   competencias actitudinales requeridas  dinamismo planificacion y organizacion autonomia relacionamiento interpersonal trabajo en equipo comunicacion liderazgo foco en el cliente show more ;c00111;c0011148
levantar acta taquigráfica reuniones;Levantar actas taquigráficas de reuniones;c02202;c0220256
llevar registro completo toda transaccione financiera empresa según principio generale teneduría libro bajo orientación contadores;Llevar registros completos de todas las transacciones financieras de una empresa según los principios generales de la teneduría de libros bajo la orientación de contadores;c02202;c0220257
llevar registro completo transaccione financieras;Llevar registros completos de transacciones financieras;c02202;c0220258
llevar registro operacione coordinar ritmo frecuencia transporte pasajero mercancía . tarea pueden incluir supervisión trabajadore .;Llevar registros de las operaciones y coordinar el ritmo de frecuencia de transportes de pasajeros y de mercancías. sus tareas pueden incluir la supervisión de otros trabajadores.;c02202;c0220259
llevar registro operacione realizadas;Llevar un registro de las operaciones realizadas;c02202;c0220260
llevar registro transporte pasajero carga : realizar tarea administrativa biblioteca archivos;Llevar registros de transporte de pasajeros y carga: realizar tareas administrativas en bibliotecas y archivos;c02202;c0220261
llevar registro transporte pasajero mercancía coordinar operaciones;Llevar registros sobre transporte de pasajeros y de mercancías y coordinar esas operaciones;c02202;c0220262
llevar registro título accione valore comprado vendido cuenta cliente empleador;Llevar registros de títulos acciones y otros valores comprados o vendidos por cuenta de los clientes o del empleador;c02202;c0220263
localizar corregir deficiencias;Localizar y corregir deficiencias;c00044;c0004450
localizar determinar naturaleza extensión yacimiento petróleo ga minerale recurso hídrico subterráneo utilizando método sismológico gravimétrico magnético eléctrico radiométricos;Localizar y determinar la naturaleza y extensión de yacimientos de petróleo de gas y de otros minerales y de recursos hídricos subterráneos utilizando métodos sismológicos gravimétricos magnéticos eléctricos o radiométricos;c02202;c0220264
logico ( analysi service power bi ) conocimiento controle centrado dato usando iso proteccion dato personale año experiencia desarrollador proyecto inteligencia negocio analisi dato ambito empresarial;Y logicos (analysis services power bi otros) conocimientos de controles centrados en datos usando iso  y proteccion de datos personales  años de experiencia como desarrollador en proyectos de inteligencia de negocio o analisis de datos en el ambito empresarial;c00111;c0011149
m office word valoraran positivamente conocimiento herramienta jira;Ms office word se valoraran positivamente conocimientos en herramientas jira;c00111;c0011150
ma biblioteca aprendizaje profundo ( kera pytorch tensorflow etc ) algoritmo machine learning ( decision tree random forest gradient boosting naïve baye pca rede neuronale etc ) matematica ( matrice calculo algebra lineal probabilidad ) tecnica estadistica ( regresion lineallogistica prueba hipotesi pronostico etc ) conocimiento avanzado excel conocimiento sql preferido ofrece incorporacion proyecto renovado pleno desarrollo oportunidade crecimiento profesional compañia expansion desarrollo formacion continuada proyecto retador buen ambiente trabajo salario competitivo si interesadoa oferta haz click aplicar ahora enviar copia actualizada cv garantizamo confidencialidad proceso show more;Una o mas bibliotecas de aprendizaje profundo (keras pytorch tensorflow etc) algoritmos de machine learning (decision trees random forest gradient boosting naïve bayes pca redes neuronales etc) matematicas (matrices calculo algebra lineal probabilidad) tecnicas estadisticas (regresion lineallogistica prueba de hipotesis pronostico etc) conocimiento avanzado de excel conocimiento de sql preferido     se ofrece  incorporacion a un proyecto renovado y en pleno desarrollo oportunidades de crecimiento profesional en una compañia en expansion desarrollo y formacion continuada en un proyecto retador buen ambiente de trabajo salario competitivo     si estas interesadoa en esta oferta haz click en aplicar ahora para enviar una copia actualizada de tu cv te garantizamos la confidencialidad en el proceso  show more ;c02202;c0220265
manejo;Manejo;c00111;c0011151
manejo ( sql database engine ssa ssi ssr master data service oracle );Manejo de (sql database engine ssas ssis ssrs master data services oracle);c00111;c0011152
manejo mejora nps;Manejo y mejora de nps;c00111;c0011153
manejo obtencion dato mejora operativa gestion herramienta comunicacion monitoreo cliente contamo mejor tecnologia manejo dato zona offline;El manejo y obtencion de datos para mejoras operativas y la gestion de nuestras herramientas de comunicacion y monitoreo de nuestros clientes contamos con la mejor tecnologia para el manejo de datos para zonas offline;c00111;c0011154
manejo plataforma digitale middleware;Manejo de las plataformas digitales y middleware;c00111;c0011155
manejo sql server realizacion consultas;Manejo de sql server para realizacion de consultas;c00111;c0011156
mantener actualizada buen funcionamiento aplicacione soporte programa lógico sistema operación computa- doras;Mantener actualizadas y en buen funcionamiento las aplicaciones de los soportes y los programas lógicos y los sistemas de operación de computa- doras;c00025;c0002572
mantener actualizado . buen funcionamiento diccionario dato sistema gestión dato garantizar validez integridad información registrada medio informáticos;Mantener actualizados. y en buen funcionamiento los diccionarios de datos y los sistemas de gestión de datos para garantizar la validez e integridad de la información registrada por medios informáticos;c00025;c0002573
mantener actualizado programa lógico documentación pertinente reflejen modificacione relativa dato informacione pueden registrar resultado pueden obtener así refieren cambio configuración;Mantener actualizados los programas lógicos y la documentación pertinente para que reflejen las modificaciones relativas a los datos e informaciones que se pueden registrar y los resultados que se pueden obtener así como las que se refieren a cambios de configuración;c00025;c0002574
mantener contacto técnico celebrar consulta especialista pertinente principalmente geólogo geofísicos;Mantener contactos técnicos y celebrar consultas con otros especialistas pertinentes principalmente geólogos y geofísicos;c02202;c0220266
mantener contacto técnico celebrar consulta especialista pertinentes;Mantener contactos técnicos y celebrar consultas con otros especialistas pertinentes;c02202;c0220267
mantener mejorar sistema decision desarrollar enfoque innovadore efectivo resolver problema analitico comunicar resultado metodologia define implementa modelo descubrir patrone prediccione creando valor comercial innovacion capacidad traducir necesidade comerciale requisito tecnicos;Mantener y mejorar los sistemas de decision desarrollar enfoques innovadores y efectivos para resolver problemas analiticos y comunicar resultados y metodologias define e implementa modelos para descubrir patrones y predicciones creando valor comercial e innovacion capacidad para traducir las necesidades comerciales en requisitos tecnicos;c00025;c0002575
mantener vigor actualizar documentación programa instala- cione informáticos;Mantener en vigor y actualizar la documentación sobre programas e instala- ciones informáticos;c00025;c0002576
mantenimiento desarrollar mantener actualizado plan integral implementacion eagle monitorear progreso nivel madurez hacia organizacion clase mundial estandarizacion diseñar;Y mantenimiento   desarrollar y mantener actualizado el plan integral de implementacion de eagle para monitorear el progreso del nivel de madurez hacia una organizacion de clase mundial  estandarizacion   diseñar;c00025;c0002577
mantenimiento infraestructura;Mantenimiento de infraestructura;c02200;c0220077
materia ciencia biológica disciplina conexa incluida medicina materia ciencia sociale humanidade . tarea abarcan ejemplo enseñanza primaria preescolar;En materia de ciencias biológicas y disciplinas conexas incluida la medicina y en materia de ciencias sociales y humanidades. otras tareas abarcan por ejemplo la enseñanza primaria y preescolar;c00044;c0004451
materia ciencia biológica disciplina conexa incluida medicina materia ciencia sociale humanidade arte religión;En materia de ciencias biológicas y disciplinas conexas incluida la medicina y en materia de ciencias sociales humanidades artes y religión;c00044;c0004452
medio implementacion herramienta tecnologia optimizar proceso funcionamiento negocio responsabilidade clave identificar requerimiento necesidade cliente promoviendo venta servicio mercado;Por medio de la implementacion de herramientas tecnologias para optimizar el proceso y funcionamiento del negocio  tus responsabilidades clave  identificar requerimientos y necesidades de clientes promoviendo la venta de servicios al mercado;c00111;c0011157
metodologia informacion show more;Metodologias e informacion show more ;c00111;c0011158
metodologia scrum;Metodologia scrum;c00111;c0011159
moldear cortar soldar metales;Moldear cortar y soldar metales;c00025;c0002578
monitoreando desempeño cumplimiento contrato acuerdo documentando problema critico servicio corrigiendo segun corresponda planeacion control presupuesto it contemplando rubro depreciacion amortizacion hardware software acuerdo licenciamiento software mantenimiento hardware software rentacompra hardware compra consumible it telecomunicacione rede honorario servicio especializado it creacion equipo alto rendimiento promoviendo compromiso colaboradore proveer claridad estrategias;Monitoreando el desempeño en cumplimiento de contratos y acuerdos documentando problemas criticos de servicio y corrigiendo segun corresponda   planeacion y control de presupuesto de it contemplando los rubros de   depreciacion y amortizacion de hardware y software acuerdos de licenciamiento de software mantenimiento de hardware y software rentacompra de hardware compra de consumibles de it telecomunicaciones y redes honorarios de servicios especializados de it   creacion de equipos de alto rendimiento   promoviendo el compromiso de los colaboradores al proveer claridad en las estrategias;c02200;c0220078
montar cinta disco magnético medida hace falta tratar registrar información digital encargarse cuidar biblioteca disco cinta d;Montar las cintas y discos magnéticos a medida que hace falta para tratar o registrar información digital y encargarse de cuidar la biblioteca de discos y cintas d;c00025;c0002579
necesitamo contar mejore profesionale area grupo ei buscamo proximo ingeniero proyecto apoyara diferente proyecto ligado diseño calculo estructura hormigon armadoque cosa esperamo alta orientacion cumplimiento objetivo experiencia diseño calculo estructura hormigon armado posea correcto manejo norma diseño estructural aci nch;Necesitamos contar con los mejores profesionales del area desde el grupo ei buscamos a nuestro proximo ingeniero de proyectos quien nos apoyara nuestros diferentes proyectos ligados al diseño y calculo de estructuras de hormigon armadoque cosas esperamos de ti que tengas una alta orientacion al cumplimiento de objetivos que tengas experiencia en diseño y calculo de estructuras de hormigon armado  que poseas un correcto manejo de normas de diseño estructural aci y nch;c00111;c0011160
negociar abastecedore cliente así empresas;Negociar con los abastecedores y los clientes así como con otras empresas;c02200;c0220079
negociar abastecedore cliente así empresas;Negociar con los abastecedores y clientes así como con otras empresas;c02200;c0220080
negociar cliente determinar tipo nivele riesgo alcance cobertura condicione pago;Negociar con los clientes para determinar los tipos y niveles del riesgo el alcance de la cobertura y las condiciones de pago;c02202;c0220268
negociar contratarla compra equipo materia prima producto suministro fábrica servicio utilidad pública servicio estatale u establecimiento comprar mercancía revenderlas;Negociar y contratarla compra de equipos materias primas productos y suministros para fábricas servicios de utilidad pública servicios estatales u otros establecimientos o comprar mercancías para la revenderlas;c02200;c0220081
negociar contrato publicidad representante periódico estacione radio televisión organizacione deportiva culturale agencia publicidad;Negociar contratos de publicidad con los representantes de periódicos estaciones de radio y televisión organizaciones deportivas y culturales y agencias de publicidad;c02200;c0220082
negociar establecer póliza reaseguro;Negociar y establecer pólizas de reaseguro;c02200;c0220083
negociar operacione compra venta particular mercado participar subasta pertinentes;Negociar operaciones de compra o venta particular fuera de los mercados o sin participar en las subastas pertinentes;c02200;c0220084
normativa control calidad proyecto tecnologia informacion telecomunicacione estandare calidad metodologia metodologia gestion proyecto gestion servicio tic ofrecemo orientacion objetivo reconocimiento trabajo plan inmersion plan formacion base objetivo compañia necesidade persona crecimiento profesional mejora continua cultura promocion interna equipo programa incentivo laborale beneficio empresa formar parte equipo persona dinamicas;Normativas y control de calidad en proyectos de tecnologias de la informacion yo telecomunicaciones   estandares de calidad y metodologias   metodologias de gestion de proyectos y de gestion de servicios tic     ofrecemos      orientacion a objetivos y reconocimiento al trabajo   plan de inmersion y plan de formacion en base a los objetivos de la compañia y las necesidades de la persona   crecimiento profesional y mejora continua   cultura de promocion interna de nuestro equipo   programa de incentivos laborales y beneficios de empresa   formar parte de un equipo de personas dinamicas;c00111;c0011161
notacion proceso bpmn;Notacion de procesos bpmn;c00044;c0004453
obtener compilar computadorizar dato estadístico actuariales;Obtener compilar y computadorizar datos estadísticos o actuariales;c02202;c0220269
obtener compilar dato estadístico actuariale partiendo fuente información ordinaria especiales;Obtener y compilar datos estadísticos o actuariales partiendo de fuentes de información ordinarias o especiales;c02202;c0220270
obtener informacione antecedente cliente necesa- ria determinar tipo condicione seguro apropiados;Obtener las informaciones sobre los antecedentes de los clientes necesa- rias para determinar tipos y condiciones del seguro apropiados;c02202;c0220271
obtener informacione propiedade venta alquiler acerca necesidade eventuale compradore arrendatarios;Obtener informaciones sobre las propiedades en venta o en alquiler y acerca de las necesidades de los eventuales compradores o arrendatarios;c02200;c0220085
obtener informacione situación financiera cliente empresa pudiera invertirse;Obtener informaciones sobre la situación financiera de los clientes o de las empresas en que pudiera invertirse;c02202;c0220272
obtener información necesidade existencia materiale determinar cantidad calidad costo debe comprar fecha entrega condicione contratos;Obtener información sobre necesidades y existencias de materiales y determinar la cantidad calidad y costos de lo que se debe comprar las fechas de entrega y otras condiciones de los contratos;c02202;c0220273
obtener órdene compra vender biene servicio establecimiento industriale empresa minorista mayorista índole;Obtener órdenes de compra y vender bienes y servicios a establecimientos industriales y empresas minoristas o mayoristas o de otra índole;c02200;c0220086
operacion mantenimiento rede transmision energia electrica alta tension rep gestiona do importante empresa sector consorcio transmantaro isa peru tre empresa interconexion electrica sa isa cuentan red subestacione electrica mas;Operacion y mantenimiento de redes de transmision de energia electrica en alta tension rep gestiona a dos importantes empresas del sector consorcio transmantaro e isa peru las tres son empresas de interconexion electrica sa isa y cuentan con una red de subestaciones electricas y mas de ;c00111;c0011162
operacione cambio bolsa seguro biene inmobiliario comercialización producto turismo tasación subasta;Operaciones de cambio bolsa seguros bienes inmobiliarios comercialización de productos turismo tasación y subasta;c02200;c0220087
operar máquina tratamiento texto calculadora copiadora contable máquina oficina similares;Operar máquinas de tratamiento de textos calculadoras copiadoras contables y otras máquinas de oficina similares;c00025;c0002580
organizar actividade educativa preparar informe escolare docente . tarea pueden incluir supervisión trabajadore .;Organizar algunas actividades educativas y preparar informes escolares o docentes. sus tareas pueden incluir la supervisión de otros trabajadores.;c02202;c0220274
organizar administrar servicio préstamo rede información disposición usuarios;Organizar y administrar servicios de préstamo y redes de información a disposición de los usuarios;c02200;c0220088
organizar ampliar conservar coleccione interé valor artístico cultural científico histórico museo galería ar-te;Organizar ampliar y conservar colecciones de interés o valor artístico cultural científico o histórico en museos o galerías de ar-te;c00044;c0004454
organizar ampliar conservar sistemáticamente colección libro revista informe obra disponible forma impresa forma audiovisual;Organizar ampliar y conservar sistemáticamente una colección de libros revistas informes y otras obras disponibles en forma impresa o en forma audiovisual;c00044;c0004455
organizar clasificar catalogar material reunido bibliotecas;Organizar clasificar y catalogar el material reunido en las bibliotecas;c02200;c0220089
organizar dirigir conservación refección estructura existentes;Organizar y dirigir la conservación y refección de las estructuras existentes;c11333;c113332
organizar dirigir mantenimiento reparación equipos;Organizar y dirigir el mantenimiento y reparación de equipos;c02200;c0220090
organizar dirigir mantenimiento reparación máquina mecanismo herramienta motore dispositivo instalacione equipo industriales;Organizar y dirigir el mantenimiento y reparación de máquinas mecanismos herramientas motores dispositivos instalaciones y equipos industriales;c02200;c0220091
organizar dirigir mantenimiento reparación sistema motore equipo electrónicos;Organizar y dirigir el mantenimiento y reparación de sistemas motores y equipos electrónicos;c02200;c0220092
organizar dirigir mantenimiento reparación sistema motore equipo eléctricos;Organizar y dirigir el mantenimiento y reparación de sistemas motores y equipos eléctricos;c02200;c0220093
organizar efectuar tarea clasificación distribución correspondencia interna servicio correos;Organizar y efectuar tareas de clasificación y distribución de correspondencia interna o en los servicios de correos;c02200;c0220094
organizar llevar registro viaje brindar información cliente concertar entrevista u operar servicio telefónico . tarea pueden incluir supervisión trabajadore .;Organizar y llevar registros de viajes brindar información a los clientes y concertar entrevistas u operar un servicio telefónico. sus tareas pueden incluir la supervisión de otros trabajadores.;c02202;c0220275
organizar operacione serie tratamiento dato garantizar ejecución correcta eficiente tiempo oportuno;Organizar operaciones en serie de tratamiento de datos para garantizar su ejecución correcta y eficiente en tiempo oportuno;c02202;c0220276
organizar operacione serie tratamiento datos;Organizar operaciones en serie de tratamiento de datos;c02202;c0220277
organizar producción lista catálogo venta subasta fijar precio mínimo subasta licitar representación cliente mercado entrega inmediata futuros;Organizar la producción de listas y catálogos de venta o subasta fijar precios mínimos de subasta y licitar en representación de los clientes en los mercados de entrega inmediata o futuros;c00025;c0002581
organizar supervisar sistema archivo;Organizar y supervisar los sistemas de archivo;c00025;c0002582
organizar tale coleccione exhibirla museo institucione establecimiento similares;Organizar tales colecciones y exhibirlas en museos e instituciones y establecimientos similares;c00025;c0002583
organizar vender servicio turismo asegurar respecto;Organizar y vender servicios de turismo y asegurar al respecto;c02200;c0220095
organizar viaje colectivo negocio vacacione venderlo grupo personas;Organizar viajes colectivos de negocios o vacaciones y venderlos a grupos o a personas;c02200;c0220096
owap audit pentest ( infraestructuraaplicacione ) seguridad defensiva bloe team herramienta seguridad ( nmap msf arachni burp ) responsabilidade contribuir gerente elaboracion programa trabajo auditoria ejecutar;Owap audit pentest (infraestructuraaplicaciones) seguridad defensiva y bloe team herramientas de seguridad (nmap msf arachni burp)     responsabilidades  contribuir con el gerente en la elaboracion del programa de trabajo de las auditorias a ejecutar;c00111;c0011163
perfeccionar desarrollar teoría método arquitectónicos;Perfeccionar o desarrollar teorías y métodos arquitectónicos;c00044;c0004456
pilotar aeronave dirigir navegación buque embarcacione inspeccionar cumplimiento reglamento seguridad construccione proceso equipo producto . pueden recibir orientación personal directivo administración pública directore empresa profesionale científico intelectuale . tarea pueden incluir supervisión trabajadore .;Pilotar aeronaves o dirigir la navegación de buques y otras embarcaciones e inspeccionar el cumplimiento de reglamentos de seguridad en construcciones procesos equipos y productos. pueden recibir orientación del personal directivo de la administración pública de directores de empresa o de profesionales científicos e intelectuales. sus tareas pueden incluir la supervisión de otros trabajadores.;c00025;c0002584
planificación proyección producción control arquitectura computadoras;La planificación la proyección la producción y el control de la arquitectura de las computadoras;c00111;c0011164
planificar aplicar programa información destinado autoridade medio comunicación masa público general plane logro opinione empresa u organización;Planificar y aplicar los programas de información destinados a las autoridades los medios de comunicación de masas y al público en general sobre los planes logros y opiniones de la empresa u organización;c11333;c113333
planificar aplicar programa venta comercialización basado venta evaluación mercado;Planificar y aplicar programas de venta y comercialización basados en el estado de las ventas y la evaluación del mercado;c11333;c113334
planificar controlar utilización recurso selección personal;Planificar y controlar la utilización de los recursos y la selección del personal;c00025;c0002585
planificar definir aplicar política empresa;Planificar definir y aplicar la política de la empresa;c02200;c0220097
planificar dirigir actividade recaudación fondo realizada cuenta organizacione educacionale humanitaria organizacione fine lucrativos;Planificar y dirigir las actividades de recaudación de fondos realizadas por cuenta de organizaciones educacionales humanitarias y otras organizaciones sin fines lucrativos;c11333;c113335
planificar dirigir almacenamiento tratamiento inicial transporte agua petróleo gas;Planificar y dirigir el almacenamiento tratamiento inicial y transporte de agua petróleo o gas;c11333;c113336
planificar dirigir coordinar actividade comerciale empresa;Planificar dirigir y coordinar las actividades comerciales de la empresa;c11333;c113337
planificar dirigir coordinar actividade empresa u organismo conjunto departamento servicio . tarea pueden incluir supervisión trabajadore .;Planificar dirigir y coordinar las actividades de la empresa u organismo en su conjunto o de uno de sus departamentos o servicios. sus tareas pueden incluir la supervisión de otros trabajadores.;c11333;c113338
planificar dirigir coordinar actividade enseñanza pública privada;Planificar dirigir y coordinar actividades de la enseñanza pública o privada;c11333;c113339
planificar dirigir coordinar actividade investigación desarrollo propia empresa u organización confiada organizacione investigación fin crear nuevo procedimiento producto modo utilización materiale nuevo perfeccionados;Planificar dirigir y coordinar las actividades de investigación y desarrollo tanto las de la propia empresa u organización como las confiadas a otras organizaciones de investigación a fin de crear nuevos procedimientos y productos o modos de utilización de materiales nuevos o perfeccionados;c11333;c1133310
planificar dirigir coordinar actividade prestación servicio empresa tale servicio banca seguro gestión inmobiliaria procesamiento dato estudio mercado contabilidad arquitectura ingeniería limpieza edificio pericia análisi técnico publicidad embalaje mercancía : b;Planificar dirigir y coordinar las actividades de prestación de servicios a empresas tales como servicios de banca seguro gestión inmobiliaria procesamiento de datos estudio de mercados contabilidad arquitectura ingeniería limpieza de edificios pericias y análisis técnicos publicidad o embalaje de mercancías: b;c11333;c1133311
planificar dirigir coordinar actividade producción biene extracción minerale sólido mina subterránea superficie cantera producción distribución electricidad ga agua;Planificar dirigir y coordinar las actividades de producción de bienes o la extracción de minerales sólidos de minas subterráneas de superficie y de canteras o la producción y distribución de electricidad gas y agua;c11333;c1133312
planificar dirigir coordinar actividade producción biene prestación servicio empresa u organismo dirigir trabajo diario;Planificar dirigir y coordinar las actividades de producción de bienes o de prestación de servicios de la empresa u organismo dirigir el trabajo diario;c11333;c1133313
planificar dirigir coordinar actividade producción bienes;Planificar dirigir y coordinar las actividades de producción de bienes;c11333;c1133314
planificar dirigir coordinar actividade publicidad relacione pública empresa u organización;Planificar dirigir y coordinar las actividades de publicidad y relaciones públicas de la empresa u organización;c11333;c1133315
planificar dirigir coordinar actividade relacionada administración funcionamiento asunto exteriore orden público seguridad;Planificar dirigir y coordinar actividades relacionadas con la administración y el funcionamiento de los asuntos exteriores el orden público y la seguridad;c11333;c1133316
planificar dirigir coordinar actividade relacionada administración funcionamiento sistema seguridad social financiado fondo erario público;Planificar dirigir y coordinar actividades relacionadas con la administración y el funcionamiento de los sistemas de seguridad social financiados por fondos del erario público;c11333;c1133317
planificar dirigir coordinar actividade relacionada manifestacione servicio recreativo culturale deportivos;Planificar dirigir y coordinar actividades relacionadas con manifestaciones y servicios recreativos culturales y deportivos;c11333;c1133318
planificar dirigir coordinar actividade relacionada operacione institucione organismo extraterritoriales;Planificar dirigir y coordinar actividades relacionadas con las operaciones de instituciones y organismos extraterritoriales;c11333;c1133319
planificar dirigir coordinar actividade relacionada servicio sanidad asistencia social;Planificar dirigir y coordinar actividades relacionadas con los servicios de sanidad y de asistencia social;c11333;c1133320
planificar dirigir coordinar actividade relativa construcción edificio obra públicas;Planificar dirigir y coordinar las actividades relativas a la construcción de edificios y a las obras públicas;c11333;c1133321
planificar dirigir coordinar actividade servicio hostelería restauración servicio conexos;Planificar dirigir y coordinar las actividades de servicio de la hostelería la restauración y otros servicios conexos;c11333;c1133322
planificar dirigir coordinar actividade servicio relacionada transporte almacenamiento comunicaciones;Planificar dirigir y coordinar las actividades de servicio relacionadas con los transportes el almacenamiento y las comunicaciones;c11333;c1133323
planificar dirigir coordinar funcionamiento general asistencia meno do directore habitualmente siguiendo orientación impartida directorio u órgano directivo;Planificar dirigir y coordinar su funcionamiento general con la asistencia de por lo menos otros dos directores habitualmente siguiendo la orientación impartida por un directorio u otro órgano directivo;c11333;c1133324
